target,window,train_size,selected,feature,mean_abs_shap
WTI Oil,tscv_01,552,True,Spread_Crack,16.39591779725333
WTI Oil,tscv_01,552,True,Ratio_Gold_Oil,0.7547343111228022
WTI Oil,tscv_01,552,True,EX_USD_KRW,0.7119731029251452
WTI Oil,tscv_01,552,True,Com_Gasoline_ma12r,0.3788511396674619
WTI Oil,tscv_01,552,True,Com_Coal,0.25368341129287636
WTI Oil,tscv_01,552,True,Com_PalmOil,0.2268897279889287
WTI Oil,tscv_01,552,True,Com_Gasoline,0.22520188562287327
WTI Oil,tscv_01,552,True,Com_Soybeans,0.21230351883993961
WTI Oil,tscv_01,552,True,Idx_SnPVIX,0.20114050376830955
WTI Oil,tscv_01,552,True,Spread_10Y_2Y,0.1988298241964172
WTI Oil,tscv_01,552,True,Bonds_US_10Y,0.17750078289055105
WTI Oil,tscv_01,552,True,Bonds_US_3M_ret,0.17386724014994542
WTI Oil,tscv_01,552,True,Com_NaturalGas,0.15062065921450313
WTI Oil,tscv_01,552,True,Bonds_KOR_10Y,0.14542918994010323
WTI Oil,tscv_01,552,True,Idx_SnP500_ret,0.14418691908890874
WTI Oil,tscv_01,552,True,Com_LME_Cu_Cash,0.14207375449068077
WTI Oil,tscv_01,552,True,EX_USD_JPY,0.12241017207843598
WTI Oil,tscv_01,552,True,Idx_SnP500,0.12065854073945077
WTI Oil,tscv_01,552,True,Com_Gasoline_ret,0.10853183276763324
WTI Oil,tscv_01,552,True,Bonds_US_2Y,0.10704884518079162
WTI Oil,tscv_01,552,False,n_features=10,10.414716598625526
WTI Oil,tscv_01,552,False,n_features=15,10.698944382022308
WTI Oil,tscv_01,552,False,n_features=20,10.380179044311374
WTI Oil,tscv_01,552,False,n_features=25,10.771837630272609
WTI Oil,tscv_01,552,False,n_features=30,11.08191310558286
WTI Oil,tscv_01,552,False,n_features=40,11.494140098133194
WTI Oil,tscv_01,552,False,n_features=55,11.910596196963423
WTI Oil,tscv_02,556,True,Spread_Crack,16.438330200525964
WTI Oil,tscv_02,556,True,Ratio_Gold_Oil,0.7885510498163961
WTI Oil,tscv_02,556,True,EX_USD_KRW,0.7206993156354815
WTI Oil,tscv_02,556,True,Com_Gasoline_ma12r,0.3521090575864759
WTI Oil,tscv_02,556,True,Com_Coal,0.26106917464570434
WTI Oil,tscv_02,556,True,Spread_10Y_2Y,0.21463943764966764
WTI Oil,tscv_02,556,True,Com_Soybeans,0.21139946146311786
WTI Oil,tscv_02,556,True,Idx_SnPVIX,0.19207986981283764
WTI Oil,tscv_02,556,True,Com_PalmOil,0.1916720992209691
WTI Oil,tscv_02,556,True,Idx_SnP500,0.18070807375325726
WTI Oil,tscv_02,556,True,Bonds_US_3M_ret,0.1699991171449393
WTI Oil,tscv_02,556,True,Com_Gasoline,0.15717824760059596
WTI Oil,tscv_02,556,True,Com_NaturalGas,0.15283018708231863
WTI Oil,tscv_02,556,True,Idx_SnP500_ret,0.14046533370613665
WTI Oil,tscv_02,556,True,Com_Uranium,0.13666460142384398
WTI Oil,tscv_02,556,False,n_features=10,9.518340771689267
WTI Oil,tscv_02,556,False,n_features=15,8.75793728495996
WTI Oil,tscv_02,556,False,n_features=20,9.295885202602951
WTI Oil,tscv_02,556,False,n_features=25,9.403909266314228
