target,window,model,base_model,residual_model,RMSE,MAE,MAPE,NRMSE
Brent Oil,holdout,PatchTST+XGB,PatchTST,XGB,3.210567608125223,2.9388175614129928,4.72761663043525,5.121033165274982
Brent Oil,holdout,PatchTST+LGBM,PatchTST,LGBM,3.369773902098541,2.9912023767560747,4.813688920945038,5.374976022449065
Brent Oil,holdout,PatchTST,PatchTST,-,6.196856876784947,6.0311065323602575,9.660357845678623,9.884329956536556
Brent Oil,holdout,PatchTST+NLinear,PatchTST,NLinear,6.559675229761204,6.344258845592679,10.163505295268155,10.463045325700458
Brent Oil,tscv_01,PatchTST+XGB,PatchTST,XGB,6.085332203648723,5.19425270589193,6.589157390176942,7.675896241652937
Brent Oil,tscv_01,PatchTST+LGBM,PatchTST,LGBM,8.328695740221502,7.910064338537624,10.005627923490778,10.505622731969332
Brent Oil,tscv_01,PatchTST,PatchTST,-,8.677747647344317,8.280942972819014,10.352913029013772,10.945908674028392
Brent Oil,tscv_01,PatchTST+NLinear,PatchTST,NLinear,12.190379931778835,11.966704742431645,15.07420390630124,15.376661186476785
Brent Oil,tscv_02,PatchTST+LGBM,PatchTST,LGBM,4.374384402630254,3.2884720059467405,4.2530786491653005,5.558988675706293
Brent Oil,tscv_02,PatchTST+XGB,PatchTST,XGB,4.645485170478185,3.8176507059733047,4.922646843603165,5.903504831519158
Brent Oil,tscv_02,PatchTST,PatchTST,-,5.911030451135646,4.786202789306638,6.165991305832283,7.511765842951587
Brent Oil,tscv_02,PatchTST+NLinear,PatchTST,NLinear,5.980858505018367,5.043185607910154,6.496032793920024,7.600503668677934
Brent Oil,tscv_03,PatchTST+LGBM,PatchTST,LGBM,5.214890621104002,4.863638494937916,6.062486982991714,6.5102482854840185
Brent Oil,tscv_03,PatchTST+XGB,PatchTST,XGB,6.252079103434631,5.930404861450197,7.364655488983872,7.8050701771438025
Brent Oil,tscv_03,PatchTST+NLinear,PatchTST,NLinear,9.415924646016721,9.308104395548504,11.602486935923313,11.754802111266478
Brent Oil,tscv_03,PatchTST,PatchTST,-,9.817114249109586,9.515609939575198,11.823961119704517,12.25564558344201
Brent Oil,tscv_04,PatchTST+LGBM,PatchTST,LGBM,11.199835668248557,10.772656462452545,12.806558333924512,13.426004717836355
Brent Oil,tscv_04,PatchTST+NLinear,PatchTST,NLinear,12.81403490609539,12.444860739407007,14.809613260370035,15.361055126147258
Brent Oil,tscv_04,PatchTST+XGB,PatchTST,XGB,13.483624021450392,12.774566931423609,15.136618762470585,16.1637371375677
Brent Oil,tscv_04,PatchTST,PatchTST,-,18.704180836117327,18.246302567816837,21.71060617010544,22.42197364206919
Brent Oil,tscv_05,PatchTST+LGBM,PatchTST,LGBM,8.735139643494596,8.240123410460312,9.55503217963682,10.238881041941497
Brent Oil,tscv_05,PatchTST+XGB,PatchTST,XGB,9.027705811562797,8.319408358696831,9.629447328153837,10.58181204407812
Brent Oil,tscv_05,PatchTST+NLinear,PatchTST,NLinear,20.452707994661754,20.270750623508025,23.682704164490595,23.973611492160344
Brent Oil,tscv_05,PatchTST,PatchTST,-,22.558118968222995,22.349289836052787,26.1064580683997,26.441465857687994
Brent Oil,tscv_06,PatchTST+NLinear,PatchTST,NLinear,6.230009376966163,5.08387208312988,6.104346337509219,7.310863333648456
Brent Oil,tscv_06,PatchTST,PatchTST,-,6.877718275839688,5.491370328911674,6.6111910234073274,8.07094425056647
Brent Oil,tscv_06,PatchTST+XGB,PatchTST,XGB,7.0342547648089955,5.90748513604058,7.0857947870843985,8.254638496969205
Brent Oil,tscv_06,PatchTST+LGBM,PatchTST,LGBM,8.188148039625533,6.410415424321506,7.737125100359922,9.608722499633714
Brent Oil,tscv_07,PatchTST+XGB,PatchTST,XGB,7.783625271295332,6.541719592963325,7.7912424740507715,9.246412019074082
Brent Oil,tscv_07,PatchTST+LGBM,PatchTST,LGBM,8.073637747074974,7.16159799920288,8.514831510764862,9.590926913903296
Brent Oil,tscv_07,PatchTST+NLinear,PatchTST,NLinear,8.74245492347808,8.255190687730577,9.79735733453038,10.385435765872696
Brent Oil,tscv_07,PatchTST,PatchTST,-,9.650042116019115,9.329125242784288,11.006323031065717,11.46358699142271
Brent Oil,tscv_08,PatchTST+LGBM,PatchTST,LGBM,3.6798605751373428,3.0070300392409357,3.6878245676798294,4.4350879412537605
Brent Oil,tscv_08,PatchTST+XGB,PatchTST,XGB,4.122419182732963,3.3672312925502226,4.140669022075747,4.968474004059179
Brent Oil,tscv_08,PatchTST+NLinear,PatchTST,NLinear,7.949668909188953,7.552844015938895,9.19472794891185,9.581200155874916
Brent Oil,tscv_08,PatchTST,PatchTST,-,9.732683267456586,9.442468929472424,11.471907320851487,11.730147192853334
Brent Oil,tscv_09,PatchTST,PatchTST,-,2.8308032368082237,2.5580751432001017,3.152731255323519,3.4534220459519935
Brent Oil,tscv_09,PatchTST+XGB,PatchTST,XGB,3.4148978009511057,2.985372898123605,3.637141300974047,4.165984833256875
Brent Oil,tscv_09,PatchTST+NLinear,PatchTST,NLinear,4.429636828324788,3.635814267171225,4.330279624920052,5.403909844241155
Brent Oil,tscv_09,PatchTST+LGBM,PatchTST,LGBM,4.748734150464464,3.949303325872543,4.932169376839728,5.793190777918446
Brent Oil,tscv_10,PatchTST+NLinear,PatchTST,NLinear,3.9684043941546365,3.0249842551095134,3.9691539229924975,5.09078761108584
Brent Oil,tscv_10,PatchTST+LGBM,PatchTST,LGBM,4.124042994780116,3.5782495273235866,4.653036349767988,5.290445453678194
Brent Oil,tscv_10,PatchTST+XGB,PatchTST,XGB,5.029051615922917,4.0567812853132,5.2952314871154345,6.451417526793008
Brent Oil,tscv_10,PatchTST,PatchTST,-,5.508053077866117,4.72318081810361,6.260567541112665,7.065894900052723
Brent Oil,tscv_11,PatchTST,PatchTST,-,5.4771606853350825,4.620386231195361,6.117516479718174,7.2272399323396765
Brent Oil,tscv_11,PatchTST+XGB,PatchTST,XGB,6.237701176209354,4.817369761585056,6.380930357457022,8.230790662652327
Brent Oil,tscv_11,PatchTST+LGBM,PatchTST,LGBM,6.576810223259046,5.05275809793944,6.6832786690897,8.678252876572248
Brent Oil,tscv_11,PatchTST+NLinear,PatchTST,NLinear,6.802107317439225,5.445210816010975,7.199614470792451,8.97553759200131
Brent Oil,tscv_12,PatchTST+LGBM,PatchTST,LGBM,7.6437335165829525,7.303520717793013,9.850088714376948,10.341887776709001
Brent Oil,tscv_12,PatchTST+XGB,PatchTST,XGB,8.25028676856329,7.7773584899175745,10.476425210205909,11.162547687074738
Brent Oil,tscv_12,PatchTST,PatchTST,-,8.251175476245354,7.433158355640231,9.97645468511466,11.163750098840437
Brent Oil,tscv_12,PatchTST+NLinear,PatchTST,NLinear,10.15472103102545,9.197178451756068,12.345963124257102,13.73922639752092
Brent Oil,tscv_13,PatchTST+NLinear,PatchTST,NLinear,6.110811634343845,5.799628342692057,7.908428025086835,8.266138781571115
Brent Oil,tscv_13,PatchTST+XGB,PatchTST,XGB,7.167352274684533,6.279215098499118,8.57719374614322,9.695328893133754
Brent Oil,tscv_13,PatchTST+LGBM,PatchTST,LGBM,7.878442463116681,7.015636381955557,9.583784536806627,10.657225697603794
Brent Oil,tscv_13,PatchTST,PatchTST,-,8.479366677783101,8.201434220377605,11.171976251772747,11.470100198222013
Brent Oil,tscv_14,PatchTST+XGB,PatchTST,XGB,3.0892219843236135,2.2468357781788697,2.9819621253398094,4.1598253030206065
Brent Oil,tscv_14,PatchTST+LGBM,PatchTST,LGBM,3.2175192659220517,2.3882046957372176,3.138198329167632,4.332585396341901
Brent Oil,tscv_14,PatchTST,PatchTST,-,3.27329562018242,2.1254678045363655,2.7679760267142814,4.407691649935821
Brent Oil,tscv_14,PatchTST+NLinear,PatchTST,NLinear,5.854616772894498,5.210818041992186,6.907941866063531,7.883597590254668
Brent Oil,tscv_15,PatchTST+LGBM,PatchTST,LGBM,5.275626236959949,4.360638825641683,5.673567456431361,7.001456898080469
Brent Oil,tscv_15,PatchTST+XGB,PatchTST,XGB,5.495865462800969,4.893587404523576,6.399336069525718,7.293743610165872
Brent Oil,tscv_15,PatchTST+NLinear,PatchTST,NLinear,8.661066648043517,7.841864804658434,10.261101517299478,11.494386088773128
Brent Oil,tscv_15,PatchTST,PatchTST,-,8.845637153414271,7.927806755138577,10.361169943066004,11.739335670105659
Brent Oil,tscv_16,PatchTST+NLinear,PatchTST,NLinear,5.095513041395216,4.421235838584295,5.772198815510083,6.776752035061079
Brent Oil,tscv_16,PatchTST+LGBM,PatchTST,LGBM,5.5641242273099305,4.922043636178988,6.452640842433335,7.399979133490875
Brent Oil,tscv_16,PatchTST+XGB,PatchTST,XGB,5.689863246278719,4.95281897355337,6.467688529768258,7.567205111672261
Brent Oil,tscv_16,PatchTST,PatchTST,-,8.75028590618364,7.710730203004867,10.0540844430751,11.637398891998433
Brent Oil,tscv_17,PatchTST+XGB,PatchTST,XGB,2.661910440127779,1.9374234905908996,2.761530896807733,3.6573323167603213
Brent Oil,tscv_17,PatchTST+NLinear,PatchTST,NLinear,2.9429360374543956,2.3497492311507933,3.2680197768633743,4.0434474855674924
Brent Oil,tscv_17,PatchTST,PatchTST,-,3.360624716620451,2.841093333265517,3.8813583794811763,4.617330919671916
Brent Oil,tscv_17,PatchTST+LGBM,PatchTST,LGBM,4.091541990280027,3.248632147109575,4.642985301588752,5.62157483619722
Brent Oil,tscv_18,PatchTST+NLinear,PatchTST,NLinear,4.075627259916666,3.164240867299883,4.778044595232416,5.9243337583634235
Brent Oil,tscv_18,PatchTST+XGB,PatchTST,XGB,6.2951412297046,5.446242152138363,8.159434989291645,9.15062033949762
Brent Oil,tscv_18,PatchTST,PatchTST,-,6.476836839287972,5.60376733417814,8.459686784329518,9.414733165561897
Brent Oil,tscv_18,PatchTST+LGBM,PatchTST,LGBM,6.8343355464025315,5.928953085811116,8.921633242362386,9.934393459318338
Brent Oil,tscv_19,PatchTST+NLinear,PatchTST,NLinear,5.33494009636106,4.564800222487678,7.064301589350398,8.040337853973401
Brent Oil,tscv_19,PatchTST+XGB,PatchTST,XGB,5.820220457357214,5.097023129708427,7.879051973279005,8.771708400939554
Brent Oil,tscv_19,PatchTST+LGBM,PatchTST,LGBM,6.579071283027508,5.698263439470758,8.83372505462284,9.915379540436993
Brent Oil,tscv_19,PatchTST,PatchTST,-,9.556350188386007,9.125135436866397,13.983011235906492,14.402464278449079
Brent Oil,tscv_20,PatchTST+XGB,PatchTST,XGB,4.893065853874547,3.4198129453386588,4.935305739087525,7.335958573368308
Brent Oil,tscv_20,PatchTST+NLinear,PatchTST,NLinear,4.9005717892077625,3.3611916982014978,4.847301938626982,7.34721189231051
Brent Oil,tscv_20,PatchTST,PatchTST,-,5.089012278688878,4.01021932612828,5.877701004882139,7.629732435802494
Brent Oil,tscv_20,PatchTST+LGBM,PatchTST,LGBM,5.710917476636033,4.119531559876905,5.967509797312781,8.56212756494022
Brent Oil,tscv_21,PatchTST+NLinear,PatchTST,NLinear,8.317759662315257,6.689577302187964,9.485912423196508,12.153363179744645
Brent Oil,tscv_21,PatchTST,PatchTST,-,8.698070580953052,7.109420022219703,10.098743849546873,12.709048472789153
Brent Oil,tscv_21,PatchTST+XGB,PatchTST,XGB,9.76169441221312,8.62544155716669,12.335564166221086,14.263145637498154
Brent Oil,tscv_21,PatchTST+LGBM,PatchTST,LGBM,9.916750187030951,8.678303222801054,12.405148389767048,14.489702934292332
Brent Oil,tscv_22,PatchTST+NLinear,PatchTST,NLinear,5.390779789812254,4.913190560041155,7.0987708886607495,7.799898237458858
Brent Oil,tscv_22,PatchTST,PatchTST,-,7.429403533935416,6.954329184105283,10.035934234502736,10.749574976003917
Brent Oil,tscv_22,PatchTST+XGB,PatchTST,XGB,9.358747959641931,9.060749701073055,13.05737151239536,13.541135895253307
Brent Oil,tscv_22,PatchTST+LGBM,PatchTST,LGBM,10.392569703234615,9.996674735247494,14.393725556614436,15.036968541011603
Brent Oil,tscv_23,PatchTST+NLinear,PatchTST,NLinear,2.1083401655478977,1.6924482432047536,2.5130436661929187,3.0985249338074885
Brent Oil,tscv_23,PatchTST+LGBM,PatchTST,LGBM,2.225370173842499,1.8786682092538018,2.7628023922496276,3.270518241448281
